bar,run_start,run_stop,attenuation_length,attenuation_length_error,gain_ratio,gain_ratio_error
12,2566,2638,104.2824,0.90892219,1.0228671,0.0045368448
12,2639,3500,104.42391,0.77699272,1.036147,0.0038773119
12,3501,4077,99.455424,1.0743588,0.9970283,0.0056836866
12,4078,4117,98.780723,0.85209014,0.98164188,0.0046283931
12,4118,4193,100.4797,1.0058336,0.98532461,0.0053270146
12,4194,4226,99.711302,0.71894912,1.0006438,0.0039124738
12,4227,4333,99.394727,0.52835844,1.0145917,0.0029377464
12,4334,4376,98.723843,0.54695843,0.95225254,0.0029060474
12,4377,4506,98.960794,0.61450356,0.94476514,0.0032333505
12,4507,4554,98.645186,0.33092059,0.96756828,0.0017940424
12,4555,4593,98.819195,0.65978721,0.95078499,0.0034918491
12,4594,5000,98.86489,0.59136423,0.96136854,0.0031796673
13,2001,3500,109.65495,1.098284,1.057244,0.0051508736
13,3501,4057,106.48913,1.4076811,1.0871318,0.0071738988
13,4058,4117,104.36913,0.93081993,1.1763097,0.005410796
13,4118,4196,105.32644,0.86063773,1.1692761,0.0048395575
13,4197,4332,104.99473,0.58926322,1.0761259,0.0031290812
13,4333,5000,103.84692,0.61474313,1.0562076,0.0032703963
14,2001,2362,82.886646,1.0950609,0.92144197,0.0076093472
14,2363,2565,82.85442,0.5806008,0.9204877,0.0040625921
14,2566,2712,83.488487,0.58002453,0.92272704,0.0039995496
14,2713,2825,83.971134,0.42190464,0.93869801,0.0029036795
14,2826,3500,83.803902,0.67721009,0.91872958,0.0045989576
14,3501,4058,79.994842,0.85987129,0.94502067,0.0066051165
14,4059,4118,77.994771,0.56633361,0.94387859,0.0046878549
14,4119,4196,80.063726,0.65605808,0.94805241,0.005187628
14,4197,4332,79.128077,0.36352908,0.99530952,0.0030726085
14,4333,5000,77.366171,0.37523993,0.93241848,0.0031086197
15,2001,2565,86.454315,0.83268444,0.97482028,0.0056595746
15,2566,2713,86.815033,0.57659126,0.97706331,0.0039152208
15,2714,2825,87.345545,0.40557595,0.99572688,0.0027613697
15,2826,3500,87.160079,0.70249687,0.97721796,0.00464894
15,3501,4063,81.684191,0.7392282,1.0380339,0.005906913
15,4064,4118,80.131343,0.55253672,1.0576003,0.0048993149
15,4119,4196,81.857293,0.68816507,1.0562453,0.0056802152
15,4197,4332,81.364545,0.32681706,1.0213625,0.0027747022
15,4333,5000,80.011647,0.3670389,0.95517503,0.0029483898
16,2001,2299,101.90914,2.2637511,1.0185745,0.01125636
16,2300,2357,101.92458,1.1022965,1.0348452,0.0055188911
16,2358,2491,101.72894,1.0382312,1.0195608,0.0051047407
16,2492,2572,101.33168,0.86829608,1.0041831,0.0043416956
16,2573,2634,101.96693,0.97434625,1.0285152,0.0048620491
16,2635,2829,102.52082,0.53375294,1.0504222,0.0027555084
16,2830,3500,102.37557,1.0870415,1.0258808,0.0053034987
16,3501,4064,97.602482,1.2426754,1.0386221,0.0067763868
16,4065,4093,97.360293,0.90939632,1.083829,0.0053619502
16,4094,4196,97.987158,0.93983856,1.0683737,0.0054046295
16,4197,4333,95.997154,0.49029606,0.97742404,0.0027966269
16,4334,5000,95.106847,0.59465279,0.97478701,0.0033252083
17,2001,2312,82.46959,1.3853623,0.85288193,0.0089150865
17,2313,2358,82.675514,0.74443232,0.86768422,0.0047598744
17,2359,2565,82.162563,0.62451028,0.85707877,0.00404531
17,2566,2635,82.592306,0.65438147,0.84452618,0.0041332021
17,2636,2715,82.665547,0.31597385,0.8585553,0.0020828879
17,2716,2826,83.663407,0.45599446,0.88329976,0.002908849
17,2827,2849,82.784689,0.75755349,0.85520463,0.0047270079
17,2850,3500,83.272849,0.67251789,0.86926886,0.0042822003
17,3501,4076,78.172317,0.81367401,0.89578288,0.0058734263
17,4077,4103,78.834726,0.62768089,0.93767233,0.0048570751
17,4104,4196,79.322434,0.62448003,0.9467339,0.004751146
17,4197,4333,76.638996,0.3431585,0.87836851,0.0027478872
17,4334,4577,76.024165,0.39905658,0.88091833,0.0030984107
17,4578,5000,76.088379,0.3718367,0.8760733,0.0030452461
18,2001,2237,84.604875,1.41266,0.9431953,0.0098059922
18,2238,2281,85.447334,1.6009218,0.9267225,0.010653604
18,2282,2626,84.927606,0.55878049,0.91674857,0.0037532347
18,2627,2723,85.511318,0.31625187,0.93380821,0.0021126029
18,2724,2826,86.205487,0.44184597,0.94475726,0.0029437731
18,2827,2849,85.574273,0.64967318,0.9214195,0.0042750186
18,2850,3500,85.83518,0.59784025,0.94082133,0.0039881494
18,3501,4075,80.222896,0.70969728,0.91969867,0.0052845111
18,4076,4196,80.821336,0.52642829,0.94531443,0.0040791616
18,4197,4332,78.953567,0.32311311,0.89350726,0.0024899654
18,4333,5000,78.897831,0.34242838,0.88813248,0.002641535
19,2001,2305,90.113533,1.5667373,1.1683772,0.011712798
19,2306,2361,90.113875,0.75020291,1.1650272,0.0056801027
19,2362,2565,89.948764,0.64993439,1.1561499,0.0049276282
19,2566,2626,90.63217,0.70191277,1.1750447,0.0052561723
19,2627,2716,90.835497,0.39670636,1.1258526,0.0028167702
19,2717,2829,91.205236,0.51822184,1.1479602,0.0037341034
19,2830,3500,91.136972,0.75836298,1.1413808,0.0053887739
19,3501,4046,90.032052,1.4129861,1.1302257,0.010530101
19,4047,4078,85.440016,0.64374343,1.1645964,0.0054426614
19,4079,4125,86.193077,0.65297521,1.1769308,0.0055422291
19,4126,4209,85.905845,0.49536193,1.1009225,0.0038378541
19,4210,4342,85.106278,0.4022795,1.0958333,0.0032458149
19,4343,4511,84.579162,0.4484031,1.0710588,0.0035891629
19,4512,5000,84.616494,0.36348822,1.0984957,0.0029845418
20,2001,2312,87.147179,1.4030354,1.1263633,0.010729417
20,2313,2375,87.242224,0.71505788,1.1548679,0.00577724
20,2376,2545,86.974707,0.61785147,1.1495942,0.0050084888
20,2546,2626,87.548685,0.67567535,1.1442332,0.0053153973
20,2627,2724,87.508857,0.36926449,1.155184,0.0029107056
20,2725,2826,87.886022,0.5204302,1.1705249,0.0041382137
20,2827,3500,87.823364,0.73009267,1.1506005,0.0056968904
20,3501,4075,81.56266,0.78309879,1.164477,0.0070812971
20,4076,4125,81.231184,0.58190108,1.1981025,0.005728246
20,4126,4209,81.204619,0.46138222,1.1527463,0.0041410229
20,4210,4332,80.481341,0.360374,1.1570754,0.003457056
20,4333,4571,80.977975,0.37690803,1.1351911,0.0035295865
20,4572,4597,81.28016,0.93244958,1.1421299,0.0087042723
20,4598,5000,81.227211,0.41043053,1.1364574,0.0038028735
21,2001,2311,92.875348,1.6327544,1.1533862,0.011196787
21,2312,2491,92.751715,0.76674994,1.0858402,0.0051071947
21,2492,2565,92.234243,0.62087138,1.0972903,0.0042166573
21,2566,2627,92.805631,0.70716719,1.1668287,0.0050074922
21,2628,2715,92.75439,0.38731679,1.1918661,0.0027933703
21,2716,3500,93.237121,0.70790523,1.1890174,0.0050142445
21,3501,4053,89.544191,1.0665563,1.1673676,0.0080918041
21,4054,4078,87.327038,0.63269018,1.1741061,0.0051530767
21,4079,4118,87.848243,0.64428113,1.1892379,0.0052991927
21,4119,4203,88.030996,0.50694329,1.1582069,0.0039487327
21,4204,4332,86.743078,0.38224566,1.1864306,0.0031975348
