bar,run_start,run_stop,nonlinear_fast_threshold,linear_fit_params[0],linear_fit_params[1],quadratic_fit_params[0],quadratic_fit_params[1],quadratic_fit_params[2],stationary_point_x,stationary_point_y
7,4230,5000,2783.5274,-39.481364,1.4537378,-76967.486,56.718913,-0.0099349699,2876.1761,4098.1149
8,2001,2237,2634.5267,-23.925386,1.2869959,-5535.4982,5.4685252,-0.00079365086,3448.7881,3906.6365
8,2238,2565,3126.1174,-4.7462198,1.2954767,-97716.906,63.816891,-0.01,3196.6056,4098.1603
8,2566,2632,2600.5442,-28.114031,1.2810837,-4491.0309,4.7123211,-0.00065955061,3573.7221,3926.7931
8,2633,3500,2620.9799,-28.222672,1.280042,-5086.1396,5.1380469,-0.00073536941,3497.6521,3893.4179
8,3501,4074,2608.0459,-42.438423,1.307451,-5327.2128,5.3442802,-0.00077630579,3440.4549,3936.7484
8,4075,4194,2527.715,-47.080907,1.3311378,-4941.4989,5.2062214,-0.00076666466,3399.3718,3894.8695
8,4195,4224,2598.0763,-60.363083,1.3022826,-5301.6886,5.3322801,-0.0007748872,3443.2635,3877.1733
8,4225,5000,2987.6683,-30.689465,1.3513778,-86930.265,59.371926,-0.0097465113,3083.0161,4093.327
9,2001,2200,2792.4239,-29.855523,1.2344845,-6699.1641,6.0098296,-0.00085499401,3515.589,3866.7477
9,2201,2290,2756.9594,-23.644796,1.2342487,-5838.871,5.4532106,-0.00076537831,3562.7045,3887.6019
9,2291,2347,3108.3108,-3.7008097,1.2434215,-76768.84,48.554031,-0.0080781777,3371.4239,4038.0901
9,2348,2565,3191.3206,-1.8387074,1.2501419,-95003.687,59.997125,-0.0092255638,3324.0012,4081.131
9,2566,2632,2764.2562,-28.695207,1.2392054,-6177.7801,5.6873207,-0.00080482732,3534.3702,3871.7234
9,2633,2725,2853.7087,-29.201486,1.2259097,-8152.7207,6.9193796,-0.00099762515,3468.2703,3845.8471
9,2726,3500,2783.8345,-26.67393,1.2296638,-6366.3762,5.7851359,-0.00081832382,3535.3481,3858.9029
9,3501,4074,2818.1612,-43.523011,1.2096053,-5860.7059,5.3728274,-0.00074407312,3625.4049,3870.969
9,4075,4224,2842.4746,-47.410705,1.2085995,-6437.4726,5.7041254,-0.00079064656,3606.1251,3851.2355
9,4225,4334,2903.642,-48.665154,1.2045738,-7954.96,6.6494699,-0.00093750882,3546.7679,3835.7603
9,4335,4505,3202.0134,-10.947194,1.2253688,-85820.537,53.165607,-0.0082968427,3399.0805,4045.3823
9,4506,5000,2783.2748,-15.466723,1.2238884,-6619.7649,5.9684256,-0.00085199021,3507.7953,3847.8533
10,2001,2144,2796.9344,-18.982886,1.2368925,-7241.4361,6.3992122,-0.00092253355,3469.656,3858.0321
10,2145,2232,2816.9036,-20.874398,1.2358199,-7835.2146,6.782041,-0.00098397298,3447.1417,3849.5874
10,2233,2290,2775.7313,-16.21784,1.2435901,-6999.4686,6.2779989,-0.00090764031,3461.6615,3870.8533
10,2291,2565,3033.1229,1.1976938,1.2528119,-63192.914,40.682941,-0.0072300741,3346.1343,4017.8387
10,2566,2633,2811.0807,-22.05614,1.2378668,-7767.0801,6.7480467,-0.00097999015,3442.8336,3849.2764
10,2634,2711,2839.5363,-25.24015,1.2379644,-8942.6227,7.5178388,-0.0011056451,3400.1754,3836.651
10,2712,2825,2812.2714,-18.649794,1.2374065,-7968.0163,6.8905684,-0.0010050506,3428.2965,3843.3113
10,2826,3500,2783.0805,-18.47963,1.2381032,-7035.3266,6.2810018,-0.00090586519,3464.714,3851.7172
