bar,run_start,run_stop,nonlinear_fast_threshold,linear_fit_params[0],linear_fit_params[1],quadratic_fit_params[0],quadratic_fit_params[1],quadratic_fit_params[2],stationary_point_x,stationary_point_y
9,4334,4480,3068.2657,-38.297078,1.1409039,-8334.8354,6.5488699,-0.00088127404,3715.5695,3831.5551
9,4481,4533,3030.1851,-40.123347,1.1424747,-6867.5933,5.6487802,-0.00074356936,3798.4219,3860.6319
9,4534,5000,3052.3103,-39.670084,1.1441473,-7863.8834,6.2708957,-0.00083981442,3733.5008,3842.3138
10,2001,2146,3286.8698,-55.387537,1.0855296,-9278.7247,6.6977611,-0.00085373499,3922.6231,3857.6714
10,2147,2232,3521.1361,-50.904542,1.0085757,-10337.671,6.8514437,-0.00082968506,4128.9424,3806.937
10,2233,2283,3313.0859,-48.992366,1.0418381,-9143.4507,6.5318607,-0.00082853611,3941.8081,3730.2199
10,2284,2309,3242.2378,-16.066204,1.0975933,-10422.183,7.5166887,-0.00098991742,3796.6241,3846.8376
10,2310,2335,3194.8181,-11.519063,1.1063529,-9168.9705,6.8390433,-0.00089718572,3811.3866,3864.1486
10,2336,2357,3214.0294,-15.200944,1.1137511,-11169.562,8.0547961,-0.0010798042,3729.7484,3851.6192
10,2358,2379,3191.8879,-13.558015,1.1163291,-10511.759,7.6943804,-0.0010304327,3733.5677,3851.9857
10,2380,2510,3198.785,-17.909596,1.1237701,-12021.772,8.6290336,-0.0011731428,3677.7421,3845.9083
10,2511,2565,3184.4486,-14.703892,1.1201025,-10701.288,7.8318353,-0.0010538297,3715.8925,3849.8409
10,2566,2586,3248.4878,-61.419795,1.0920944,-8526.6529,6.3038936,-0.00080218852,3929.1846,3857.9281
10,2587,2609,3303.4583,-59.669859,1.0620518,-8499.0542,6.1714757,-0.0007733447,3990.1196,3813.4089
10,2610,2653,3218.5852,-64.320348,1.1122567,-9375.7595,6.8983016,-0.00089884913,3837.2967,3859.6554
10,2654,2830,3263.843,-61.708556,1.0954579,-9228.1694,6.712432,-0.00086048472,3900.3784,3862.3429
10,2831,3500,3238.8852,-60.663564,1.0820438,-8386.3659,6.2231351,-0.00079365137,3920.5723,3812.7596
10,3501,4193,3215.776,-69.047866,1.1188587,-10089.779,7.3510907,-0.00096900903,3793.0971,3851.9213
10,4194,4228,3261.2331,-62.295158,1.1062255,-11275.964,7.9831757,-0.0010543482,3785.8347,3835.5278
10,4229,4332,3279.396,-62.45371,1.1030697,-12080.453,8.4324679,-0.0011174921,3772.9429,3827.1569
10,4333,4395,3244.6041,-18.792811,1.0941693,-10316.71,7.4418878,-0.00097819615,3803.8832,3837.3265
10,4396,4508,3270.4173,-19.55707,1.0909167,-11219.439,7.9401233,-0.0010471457,3791.3175,3832.3251
10,4509,5000,3285.1891,-18.389029,1.0889915,-11805.757,8.2650581,-0.0010921847,3783.7273,3830.606
11,2001,2281,3088.6388,-59.078554,1.1147451,-6294.4547,5.1523659,-0.00065362463,3941.3798,3859.2607
11,2282,2312,3123.134,-31.717716,1.1045832,-7039.3831,5.5921687,-0.00071844268,3891.8684,3842.6091
11,2313,2361,3136.6887,-25.555625,1.1016119,-7114.7979,5.6218197,-0.00072053817,3901.1255,3850.9143
11,2362,2385,3157.502,-26.32912,1.0778045,-5719.9173,4.6841922,-0.00057108241,4101.1526,3885.3762
11,2386,2512,3162.2558,-33.044998,1.0915497,-7215.7048,5.6342941,-0.00071827592,3922.0959,3833.4161
