# measurement unit: cm
  vw-bar    dir_x    dir_y    dir_z         x          y         z
      21        1        1        1  185.5516   113.6181  358.1086
      22       -1       -1       -1  185.6566  -113.6181  357.7637
      22       -1       -1        1  185.0218  -113.6181  356.9900
      22       -1        1       -1  185.6566   113.6181  357.7637
      22       -1        1        1  185.0218   113.6181  356.9900
      22        1       -1       -1  178.3913  -113.6181  363.7251
      22        1       -1        1  177.7565  -113.6181  362.9514
      22        1        1       -1  178.3913   113.6181  363.7251
      22        1        1        1  177.7565   113.6181  362.9514
      23       -1       -1       -1  179.3849  -113.6181  364.4630
      23       -1       -1        1  178.7501  -113.6181  363.6894
      23       -1        1       -1  179.3849   113.6181  364.4630
      23       -1        1        1  178.7501   113.6181  363.6894
      23        1       -1       -1  172.1197  -113.6181  370.4244
      23        1       -1        1  171.4849  -113.6181  369.6508
      23        1        1       -1  172.1197   113.6181  370.4244
      23        1        1        1  171.4849   113.6181  369.6508
