*Tele EF EB theta(degree) phi(degree)
   0  9 17       28.8274     172.290
   0  9 18       28.8712     171.572
   0  9 19       28.9188     170.857
   0  9 20       28.9702     170.144
   0  9 21       29.0253     169.433
   0  9 22       29.0841     168.726
   0  9 23       29.1465     168.021
   0  9 24       29.2126     167.320
   0  9 25       29.2823     166.622
   0  9 26       29.3556     165.927
   0  9 27       29.4324     165.237
   0  9 28       29.5126     164.550
   0  9 29       29.5963     163.867
   0  9 30       29.6834     163.188
   0  9 31       29.7739     162.514
   0 10  0       29.0183     184.555
   0 10  1       28.9970     183.843
   0 10  2       28.9796     183.129
   0 10  3       28.9658     182.414
   0 10  4       28.9559     181.698
   0 10  5       28.9497     180.980
   0 10  6       28.9474     180.262
   0 10  7       28.9488     179.544
   0 10  8       28.9541     178.825
   0 10  9       28.9632     178.105
   0 10 10       28.9762     177.386
   0 10 11       28.9929     176.668
   0 10 12       29.0135     175.950
   0 10 13       29.0379     175.232
   0 10 14       29.0662     174.516
   0 10 15       29.0982     173.801
   0 10 16       29.1340     173.087
   0 10 17       29.1736     172.375
   0 10 18       29.2169     171.665
   0 10 19       29.2640     170.957
   0 10 20       29.3148     170.252
   0 10 21       29.3693     169.548
   0 10 22       29.4274     168.848
   0 10 23       29.4891     168.150
   0 10 24       29.5545     167.456
   0 10 25       29.6233     166.765
   0 10 26       29.6958     166.077
   0 10 27       29.7716     165.393
   0 10 28       29.8510     164.712
   0 10 29       29.9337     164.036
   0 10 30       30.0198     163.364
   0 10 31       30.1092     162.695
   0 11  0       29.3648     184.510
   0 11  1       29.3440     183.806
   0 11  2       29.3268     183.100
   0 11  3       29.3134     182.392
   0 11  4       29.3037     181.683
   0 11  5       29.2978     180.974
   0 11  6       29.2956     180.263
   0 11  7       29.2971     179.552
   0 11  8       29.3024     178.841
   0 11  9       29.3116     178.129
   0 11 10       29.3244     177.418
   0 11 11       29.3411     176.707
   0 11 12       29.3615     175.996
   0 11 13       29.3857     175.286
   0 11 14       29.4137     174.578
   0 11 15       29.4454     173.870
   0 11 16       29.4809     173.164
   0 11 17       29.5200     172.459
   0 11 18       29.5629     171.757
   0 11 19       29.6095     171.056
   0 11 20       29.6597     170.357
   0 11 21       29.7135     169.661
   0 11 22       29.7710     168.968
   0 11 23       29.8320     168.277
   0 11 24       29.8966     167.589
   0 11 25       29.9647     166.905
   0 11 26       30.0363     166.224
   0 11 27       30.1113     165.546
   0 11 28       30.1897     164.872
   0 11 29       30.2714     164.202
   0 11 30       30.3565     163.535
   0 11 31       30.4449     162.873
   0 12  0       29.7114     184.467
   0 12  1       29.6910     183.770
   0 12  2       29.6743     183.071
   0 12  3       29.6611     182.371
   0 12  4       29.6517     181.669
   0 12  5       29.6459     180.967
   0 12  6       29.6439     180.264
   0 12  7       29.6456     179.560
   0 12  8       29.6509     178.857
   0 12  9       29.6600     178.153
   0 12 10       29.6729     177.449
   0 12 11       29.6894     176.745
   0 12 12       29.7097     176.042
   0 12 13       29.7337     175.340
   0 12 14       29.7614     174.638
   0 12 15       29.7928     173.938
   0 12 16       29.8279     173.239
   0 12 17       29.8667     172.542
   0 12 18       29.9091     171.846
   0 12 19       29.9551     171.152
   0 12 20       30.0048     170.461
   0 12 21       30.0580     169.772
   0 12 22       30.1148     169.085
   0 12 23       30.1752     168.401
   0 12 24       30.2390     167.720
   0 12 25       30.3063     167.042
   0 12 26       30.3771     166.367
   0 12 27       30.4512     165.696
   0 12 28       30.5287     165.028
   0 12 29       30.6095     164.364
   0 12 30       30.6936     163.704
   0 12 31       30.7809     163.048
   0 13  0       30.0582     184.424
   0 13  1       30.0382     183.734
   0 13  2       30.0218     183.043
   0 13  3       30.0090     182.350
   0 13  4       29.9998     181.656
   0 13  5       29.9943     180.961
   0 13  6       29.9924     180.265
   0 13  7       29.9941     179.569
   0 13  8       29.9996     178.872
   0 13  9       30.0087     178.175
   0 13 10       30.0214     177.479
   0 13 11       30.0379     176.782
   0 13 12       30.0580     176.087
   0 13 13       30.0818     175.391
   0 13 14       30.1093     174.697
   0 13 15       30.1404     174.004
   0 13 16       30.1751     173.312
   0 13 17       30.2134     172.622
   0 13 18       30.2554     171.933
   0 13 19       30.3010     171.247
   0 13 20       30.3501     170.562
   0 13 21       30.4027     169.880
   0 13 22       30.4589     169.200
   0 13 23       30.5186     168.523
   0 13 24       30.5817     167.848
   0 13 25       30.6482     167.177
   0 13 26       30.7181     166.508
   0 13 27       30.7914     165.843
   0 13 28       30.8680     165.182
   0 13 29       30.9479     164.523
   0 13 30       31.0310     163.869
   0 13 31       31.1174     163.219
   0 14  0       30.4051     184.383
   0 14  1       30.3855     183.700
   0 14  2       30.3695     183.015
   0 14  3       30.3570     182.329
   0 14  4       30.3480     181.642
   0 14  5       30.3427     180.954
   0 14  6       30.3409     180.266
   0 14  7       30.3428     179.577
   0 14  8       30.3483     178.887
   0 14  9       30.3574     178.198
   0 14 10       30.3701     177.508
   0 14 11       30.3865     176.819
   0 14 12       30.4064     176.130
   0 14 13       30.4300     175.442
   0 14 14       30.4572     174.755
   0 14 15       30.4880     174.069
   0 14 16       30.5224     173.384
   0 14 17       30.5604     172.701
   0 14 18       30.6019     172.019
   0 14 19       30.6470     171.339
   0 14 20       30.6956     170.662
   0 14 21       30.7476     169.986
   0 14 22       30.8032     169.313
   0 14 23       30.8622     168.642
   0 14 24       30.9246     167.974
   0 14 25       30.9903     167.309
   0 14 26       31.0595     166.646
   0 14 27       31.1319     165.987
   0 14 28       31.2076     165.332
   0 14 29       31.2866     164.680
   0 14 30       31.3688     164.031
   0 14 31       31.4541     163.386
   0 15  0       30.7521     184.342
   0 15  1       30.7329     183.665
   0 15  2       30.7172     182.988
   0 15  3       30.7050     182.309
   0 15  4       30.6963     181.629
   0 15  5       30.6912     180.948
   0 15  6       30.6896     180.267
   0 15  7       30.6915     179.584
   0 15  8       30.6971     178.902
   0 15  9       30.7062     178.220
   0 15 10       30.7189     177.537
   0 15 11       30.7351     176.855
   0 15 12       30.7549     176.173
   0 15 13       30.7783     175.492
   0 15 14       30.8053     174.812
   0 15 15       30.8358     174.133
   0 15 16       30.8699     173.455
   0 15 17       30.9075     172.778
   0 15 18       30.9485     172.103
   0 15 19       30.9931     171.430
   0 15 20       31.0412     170.759
   0 15 21       31.0927     170.090
   0 15 22       31.1476     169.423
   0 15 23       31.2059     168.759
   0 15 24       31.2676     168.097
   0 15 25       31.3327     167.438
   0 15 26       31.4010     166.782
   0 15 27       31.4726     166.129
   0 15 28       31.5475     165.479
   0 15 29       31.6255     164.833
   0 15 30       31.7068     164.190
   0 15 31       31.7911     163.551
   0 16  0       31.0992     184.302
   0 16  1       31.0804     183.632
   0 16  2       31.0650     182.961
   0 16  3       31.0531     182.289
   0 16  4       31.0446     181.616
   0 16  5       31.0397     180.942
   0 16  6       31.0382     180.267
   0 16  7       31.0403     179.592
   0 16  8       31.0459     178.917
   0 16  9       31.0550     178.241
   0 16 10       31.0677     177.566
   0 16 11       31.0838     176.890
   0 16 12       31.1035     176.215
   0 16 13       31.1267     175.541
   0 16 14       31.1535     174.868
   0 16 15       31.1837     174.195
   0 16 16       31.2174     173.524
   0 16 17       31.2546     172.854
   0 16 18       31.2953     172.186
   0 16 19       31.3394     171.519
   0 16 20       31.3869     170.854
   0 16 21       31.4379     170.192
   0 16 22       31.4922     169.531
   0 16 23       31.5499     168.873
   0 16 24       31.6109     168.218
   0 16 25       31.6752     167.565
   0 16 26       31.7427     166.915
   0 16 27       31.8135     166.268
   0 16 28       31.8875     165.624
   0 16 29       31.9647     164.983
   0 16 30       32.0450     164.346
   0 16 31       32.1284     163.713
   0 17  0       31.4463     184.262
   0 17  1       31.4278     183.599
   0 17  2       31.4128     182.935
   0 17  3       31.4012     182.270
   0 17  4       31.3930     181.603
   0 17  5       31.3882     180.936
   0 17  6       31.3869     180.268
   0 17  7       31.3891     179.600
   0 17  8       31.3948     178.931
   0 17  9       31.4039     178.262
   0 17 10       31.4165     177.593
   0 17 11       31.4326     176.925
   0 17 12       31.4521     176.257
   0 17 13       31.4751     175.589
   0 17 14       31.5016     174.922
   0 17 15       31.5316     174.256
   0 17 16       31.5650     173.592
   0 17 17       31.6018     172.928
   0 17 18       31.6421     172.266
   0 17 19       31.6857     171.606
   0 17 20       31.7327     170.948
   0 17 21       31.7831     170.292
   0 17 22       31.8369     169.637
   0 17 23       31.8939     168.985
   0 17 24       31.9542     168.336
   0 17 25       32.0178     167.689
   0 17 26       32.0846     167.045
   0 17 27       32.1546     166.404
   0 17 28       32.2278     165.766
   0 17 29       32.3041     165.131
   0 17 30       32.3834     164.499
   0 17 31       32.4659     163.871
   0 18  0       31.7934     184.224
   0 18  1       31.7753     183.567
   0 18  2       31.7606     182.910
   0 18  3       31.7493     182.251
   0 18  4       31.7413     181.591
   0 18  5       31.7368     180.930
   0 18  6       31.7356     180.269
   0 18  7       31.7379     179.607
   0 18  8       31.7436     178.945
   0 18  9       31.7527     178.283
   0 18 10       31.7653     177.620
   0 18 11       31.7813     176.959
   0 18 12       31.8007     176.297
   0 18 13       31.8236     175.636
   0 18 14       31.8498     174.976
   0 18 15       31.8795     174.316
   0 18 16       31.9126     173.658
   0 18 17       31.9491     173.001
   0 18 18       31.9889     172.346
   0 18 19       32.0321     171.692
   0 18 20       32.0786     171.040
   0 18 21       32.1285     170.389
   0 18 22       32.1816     169.741
   0 18 23       32.2380     169.096
   0 18 24       32.2977     168.452
   0 18 25       32.3606     167.811
   0 18 26       32.4266     167.173
   0 18 27       32.4958     166.537
   0 18 28       32.5682     165.905
   0 18 29       32.6436     165.276
   0 18 30       32.7221     164.650
   0 18 31       32.8035     164.027
   0 19  0       32.1404     184.186
   0 19  1       32.1227     183.536
   0 19  2       32.1084     182.885
   0 19  3       32.0973     182.232
   0 19  4       32.0896     181.579
   0 19  5       32.0853     180.925
   0 19  6       32.0843     180.270
   0 19  7       32.0867     179.614
   0 19  8       32.0924     178.959
   0 19  9       32.1016     178.303
   0 19 10       32.1141     177.647
   0 19 11       32.1300     176.992
   0 19 12       32.1493     176.337
   0 19 13       32.1720     175.682
   0 19 14       32.1980     175.028
   0 19 15       32.2275     174.375
   0 19 16       32.2602     173.723
   0 19 17       32.2963     173.073
   0 19 18       32.3358     172.423
   0 19 19       32.3785     171.776
   0 19 20       32.4246     171.130
   0 19 21       32.4739     170.486
   0 19 22       32.5264     169.843
   0 19 23       32.5822     169.204
   0 19 24       32.6412     168.566
   0 19 25       32.7034     167.931
   0 19 26       32.7687     167.298
   0 19 27       32.8372     166.669
   0 19 28       32.9087     166.042
   0 19 29       32.9832     165.418
   0 19 30       33.0608     164.797
   0 19 31       33.1414     164.180
   0 20  0       32.4874     184.149
   0 20  1       32.4701     183.505
   0 20  2       32.4561     182.860
   0 20  3       32.4453     182.214
   0 20  4       32.4379     181.567
   0 20  5       32.4337     180.919
   0 20  6       32.4329     180.270
   0 20  7       32.4354     179.621
   0 20  8       32.4412     178.972
   0 20  9       32.4504     178.323
   0 20 10       32.4629     177.673
   0 20 11       32.4787     177.024
   0 20 12       32.4979     176.375
   0 20 13       32.5204     175.727
   0 20 14       32.5462     175.080
   0 20 15       32.5753     174.433
   0 20 16       32.6078     173.787
   0 20 17       32.6436     173.143
   0 20 18       32.6826     172.500
   0 20 19       32.7249     171.858
   0 20 20       32.7705     171.218
   0 20 21       32.8193     170.580
   0 20 22       32.8713     169.944
   0 20 23       32.9265     169.310
   0 20 24       32.9848     168.678
   0 20 25       33.0463     168.048
   0 20 26       33.1109     167.421
   0 20 27       33.1785     166.797
   0 20 28       33.2493     166.176
   0 20 29       33.3230     165.557
   0 20 30       33.3997     164.942
   0 20 31       33.4793     164.330
   0 21  0       32.8344     184.113
   0 21  1       32.8175     183.475
   0 21  2       32.8037     182.836
   0 21  3       32.7933     182.196
   0 21  4       32.7861     181.555
   0 21  5       32.7821     180.914
   0 21  6       32.7814     180.271
   0 21  7       32.7840     179.628
   0 21  8       32.7899     178.985
   0 21  9       32.7991     178.342
   0 21 10       32.8115     177.699
   0 21 11       32.8273     177.056
   0 21 12       32.8463     176.413
   0 21 13       32.8687     175.771
   0 21 14       32.8943     175.130
   0 21 15       32.9232     174.489
   0 21 16       32.9553     173.850
   0 21 17       32.9908     173.211
   0 21 18       33.0294     172.574
   0 21 19       33.0713     171.939
   0 21 20       33.1164     171.305
   0 21 21       33.1647     170.672
   0 21 22       33.2161     170.042
   0 21 23       33.2707     169.414
   0 21 24       33.3284     168.788
